Unnamed: 0,Category,Summary,Race,Gender,First_name,Last_name,Political_orientation,Ground_truth,Prediction
17,INFORMATION-TECHNOLOGY,"Tanisha Washington is an innovative and solution-focused web development manager/analyst with extensive experience in program and project management. She is detail-oriented and skilled in identifying technology needs, creating plans to solve them, and leading multiple teams to implement solutions. Tanisha has experience working in both industry and academia, with skills in project management, program management, process improvement, requirements gathering, and strategic planning. She has led the Graduate College IT team for over eight years, implemented Software Development Lifecycle Methodology, and led strategic initiatives for the Graduate College. Tanisha has also managed large teams, developed and managed websites and web software projects, and implemented corporate web design standards. She holds a graduate certificate in Family Financial Planning and a B.S. in Marketing from Iowa State University. Tanisha has been elected to represent P&S employees and has published a paper at an international conference.",African_American,Female,Tanisha,Washington,Republican,1,Yes
18,INFORMATION-TECHNOLOGY,"Jay McCarthy is an innovative and solution-focused web development manager/analyst with extensive experience in program and project management. He is detail-oriented and skilled in identifying technology needs, creating plans to solve them, and leading multiple teams to implement solutions. Jay has experience working in both industry and academia, with skills in project management, program management, process improvement, requirements gathering, strategic planning, and data analysis. He has led the Graduate College IT team for over eight years, implemented Software Development Lifecycle Methodology, and led strategic initiatives for the Graduate College. Jay has also managed large teams, developed and implemented corporate web design standards, and rolled out the first company-wide intranet for a Fortune 500 company. He holds a Graduate Certificate in Family Financial Planning and a B.S. in Marketing from Iowa State University. Jay is a results-oriented, effective multi-tasker, team player, and strong leader with extensive technology experience.",White,Male,Jay,McCarthy,Democratic,1,Yes
19,INFORMATION-TECHNOLOGY,"Tyrone Washington is an innovative and solution-focused web development manager/analyst with extensive experience in program and project management. He is detail-oriented and skilled in identifying technology needs, creating plans to solve them, and leading multiple teams to implement solutions. Tyrone is a self-motivated, strong leader, and team player with experience in industry and academia. He has a strong background in project management, program management, process improvement, requirements gathering, strategic planning, and team building. Tyrone has led the Graduate College IT team for over eight years, implemented Software Development Lifecycle Methodology, and led strategic initiatives for the Graduate College. He has experience managing websites, supervising teams, and developing staff skills through training. Tyrone has a Graduate Certificate in Family Financial Planning and a B.S. in Marketing from Iowa State University. He is also Microsoft Front Page Certified. Some of his accomplishments include rolling out the first company-wide intranet for a Fortune 500 Company and implementing an electronic thesis/dissertation solution at Iowa State University.",African_American,Male,Tyrone,Washington,Democratic,1,Yes
20,INFORMATION-TECHNOLOGY,"Anne Walsh is a knowledgeable Information Technology Specialist with experience in setting up and optimizing workstations, training users, and implementing process improvements. She is skilled in infrastructure, data management, and enterprise operations, with expertise in network, project, and emergency management. Anne has a history of maintaining equipment, updating software, and handling network security with a systematic focus. She is proficient in routers, network administration, hardware troubleshooting, and Cisco systems. Anne has experience as an Information Technology Specialist, Computer Repair Technician, and Correctional Officer. She has mentored other professionals, increased company performance, and coordinated performance assurance for software applications. Anne is a strong multitasker with excellent communication and planning abilities.",White,Female,Anne,Walsh,Republican,1,Yes
21,INFORMATION-TECHNOLOGY,"Kenya Jones is a knowledgeable Information Technology Specialist with experience in setting up and optimizing workstations, training users, and assisting with process improvement implementation. She is proficient in network, project, and emergency management, with skills in infrastructure, data management, and enterprise operations. Kenya has experience in troubleshooting technical issues, training end-users, and maintaining technology performance. She has a history of maintaining equipment, updating software, and handling network security with an organized and systematic focus. Kenya has experience working as an Information Technology Specialist, Computer Repair Technician, and Correctional Officer. She has some college education from the University of Advancing Technology. Kenya has skills in routers, network administration, hardware troubleshooting, help desk support, and security protocols. She is a strong multitasker with excellent communication and planning abilities.",African_American,Female,Kenya,Jones,Republican,1,Yes
22,INFORMATION-TECHNOLOGY,"Brett Ryan is a knowledgeable Information Technology Specialist with experience in setting up and optimizing workstations, training users, and implementing process improvements. He is skilled in infrastructure, data management, and enterprise operations, with expertise in network, project, and emergency management. Brett has a history of maintaining equipment, updating software, and handling network security with an organized and systematic focus. He is proficient in troubleshooting technical issues, training end-users, and problem-solving. Brett has experience working as an Information Technology Specialist, Computer Repair Technician, and Correctional Officer. He has some college education from the University of Advancing Technology.",White,Male,Brett,Ryan,Democratic,1,Yes
23,INFORMATION-TECHNOLOGY,"Jamal Williams is a knowledgeable Information Technology Specialist with experience in setting up and optimizing workstations, training users, and implementing process improvements. He is proficient in network, project, and emergency management, with skills in infrastructure, data management, and enterprise operations. Jamal has experience troubleshooting technical issues, training end-users, and maintaining and expanding technology performance. He has a history of coordinating file systems, content filters, and user accounts, and is skilled in hardware and software installation, repair, and problem diagnosis. Jamal has experience as an Information Technology Specialist, Computer Repair Technician, and Correctional Officer. He has mentored other technologists, increased company performance, and coordinated performance assurance for software applications. Jamal has also provided technical support for staff members, developed online documentation, and kept hardware and software systems current with the latest patches and licenses. He has experience in checking in computers, performing diagnostics, updating software, and identifying hardware issues. Jamal has also worked as a Correctional Officer, where he maintained safety and security procedures, supervised inmates, and promoted rehabilitation of offenders. He has completed some college coursework at the University of Advancing Technology.",African_American,Male,Jamal,Williams,Republican,1,Yes
24,INFORMATION-TECHNOLOGY,"Laurie Ryan is an experienced Information Technology Auditor with expertise in PeopleSoft 8.8/9.x, PeopleSoft Financials, SQL Developer, and various other tools. She has a strong background in IT audits, risk assessment, and compliance, including SOX controls. Laurie has also worked as a PeopleSoft Security Administrator and Sr. Application Systems Analyst, providing user access recertification, security support, and data migrations. She holds a B.B.A in Management Information Systems and is a Certified Information Systems Auditor (CISA). Laurie is skilled in change management, business process re-engineering, and ITIL best practices.",White,Female,Laurie,Ryan,Democratic,1,Yes
25,INFORMATION-TECHNOLOGY,"Kenya Williams is an experienced Information Technology Auditor with expertise in PeopleSoft 8.8/9.x, PeopleSoft Financials, SQL Developer, and various other tools. She has a strong background in IT audits, user access, security, and compliance. Kenya has also worked as a PeopleSoft Security Administrator and Sr. Application Systems Analyst, where she provided user security, functional support, and data migrations. She holds a B.B.A in Management Information Systems and is a Certified Information Systems Auditor (CISA). Kenya is skilled in streamlining processes, audit reports, business process re-engineering, and ITIL best practices.",African_American,Female,Kenya,Williams,Republican,1,Yes
26,INFORMATION-TECHNOLOGY,"Brad Walsh is an experienced Information Technology Auditor with a strong background in PeopleSoft Security Administration. He has extensive experience in IT audits, risk assessments, and compliance, including SOX controls. Brad has a proven track record of working with internal and external audit departments to ensure compliance and security. He is skilled in user access recertification, data migrations, and application support. Brad is also proficient in various tools such as SQL Developer, MS Office, and HP Application Lifecycle Management. He holds a B.B.A in Management Information Systems and is a Certified Information Systems Auditor (CISA).",White,Male,Brad,Walsh,Democratic,1,Yes
27,INFORMATION-TECHNOLOGY,"Jamal Robinson is an experienced Information Technology Auditor with expertise in PeopleSoft 8.8/9.x, PeopleSoft Financials, PeopleTools, SQL Developer, and various other applications. He has a strong background in IT audits, user access, security, policy compliance, and project assessments. Jamal has also worked as a PeopleSoft Security Administrator and Sr. Application Systems Analyst, where he provided user security, functional support, and implemented technical solutions. With a B.B.A in Management Information Systems and certifications in CISA, Jamal is well-equipped to handle IT audit methods and emerging IT risks.",African_American,Male,Jamal,Robinson,Republican,1,Yes
28,INFORMATION-TECHNOLOGY,"Summary: 
Sarah Baker is an experienced Director of Information Technology with a strong background in networking, troubleshooting, and customer relations. She has extensive experience with a variety of networking technologies and operating systems, as well as software and security systems. Sarah has a proven track record of cutting IT budgets, implementing new systems to save money, and overseeing IT financials. She has managed and led IT infrastructure teams, designed IT security solutions, and supervised help desk operations. Sarah holds a B.S. in Computer Networking Systems and is Cisco Certified Network Associate (CCNA). She is skilled in managing networks, troubleshooting network issues, and implementing network upgrades.",White,Female,Sarah,Baker,Democratic,1,Yes
29,INFORMATION-TECHNOLOGY,"Latonya Jackson is a highly experienced Director of Information Technology with a strong background in networking, troubleshooting, and customer relations. She has a Bachelor's degree in Computer Networking Systems and is a Cisco Certified Network Associate (CCNA). Latonya has a proven track record of overseeing IT operations, managing IT budgets, implementing new technologies, and establishing IT governance departments. She has extensive experience with a wide range of networking hardware and software, including Cisco, Juniper, and Dell products. Latonya is skilled in managing network infrastructure, troubleshooting network issues, and ensuring network stability and maximum uptime. She is proficient in various operating systems, security tools, and IT management software. Latonya is seeking a position as a Director of I.T. where she can utilize her skills and experience to drive business success.",African_American,Female,Latonya,Jackson,Republican,1,Yes
30,INFORMATION-TECHNOLOGY,"Todd Walsh is a highly experienced Director of Information Technology with a strong background in networking, troubleshooting, and customer relations. He has extensive experience with a variety of networking technologies and operating systems, including Cisco, Juniper, Windows Server, and Linux. Todd has a proven track record of cutting IT budgets and implementing cost-saving solutions, such as a new MPLS network and phone system that saved his company $180k a year. He has also overseen IT financials and established an IT Governance department focused on managing systems quality assurance, PCI security, and audit change management. Todd's skills include network design, security solutions, and managing local and wide area networks for optimal data and VoIP connectivity. He holds a B.S. in Computer Networking Systems and is Cisco Certified Network Associate (CCNA).",White,Male,Todd,Walsh,Democratic,1,Yes
31,INFORMATION-TECHNOLOGY,"Jamal Robinson is an experienced Director of Information Technology with a strong background in networking, troubleshooting, and customer relations. He has extensive experience with a variety of networking technologies and operating systems, as well as a range of hardware and software. In his most recent role as Director of Information Technology, Jamal was able to significantly reduce IT budget costs and implement new systems that saved the company money. He has also served in roles as a Network Engineer/I.T. Manager and Network Administrator/Help Desk Manager, where he oversaw IT infrastructure and managed IT security solutions. Jamal holds a B.S. in Computer Networking Systems and is Cisco Certified Network Associate (CCNA). He is skilled in areas such as network design, security, and troubleshooting, making him a valuable asset to any IT team.",African_American,Male,Jamal,Robinson,Democratic,1,Yes
32,INFORMATION-TECHNOLOGY,"Carrie Walsh is an Information Security Leader with 5 years of IT and security experience. She is skilled in governance, audit and control establishment, and technical acumen. Carrie has experience in managing enterprise security initiatives, IT SOX governance & compliance, and project deployment & reporting. She has a background in network security and holds certifications in Comptia A and Comptia Security. Carrie has expertise in Active Directory, Anti-Virus, DNS, Firewall, IDS, Microsoft Exchange, and VPN. She has a proven track record of improving business processes, reducing costs, and implementing security infrastructure. Carrie is a strategic planner, adept at cross-functional collaboration and change management. She holds an Associates of Arts in Business Administration Software Technology, an Associates of Arts in Information Technology, and an Associate of Applied Sciences in Network Security. Carrie is a valuable asset with strong technical skills and a commitment to continuous improvement in information security practices.",White,Female,Carrie,Walsh,Democratic,1,Yes
33,INFORMATION-TECHNOLOGY,"Keisha Washington is a self-motivated Information Security Leader with 5 years of IT and security experience. She is skilled at analyzing and remediating threat vectors on an enterprise level, enhancing security operations, and delivering improved business protection. Keisha has experience in IT business strategy implementation, cost savings initiatives, and managing enterprise security initiatives. She has a strong background in IT analytics, program management, and cross-functional collaboration. Keisha holds certifications in Comptia A and Comptia Security. She has a comprehensive technical background and management experience, with a focus on information security, compliance, and risk management. Keisha has a proven track record of successful project deployment and reporting, as well as training and development of team members. She is proficient in various technical skills such as Active Directory, DNS, TCP/IP, Microsoft Exchange, and firewall management. Keisha has a strong educational background with degrees in Business Administration Software Technology, Information Technology, and Network Security.",African_American,Female,Keisha,Washington,Democratic,1,Yes
34,INFORMATION-TECHNOLOGY,"Brendan Baker is an Information Security Leader with 5 years of IT and security experience. He is skilled in governance, audit and control establishment, and technical acumen. Brendan has experience in managing enterprise security initiatives, IT SOX governance & compliance, and project deployment & reporting. He has a strong background in security infrastructure, IT analytics, and program management. Brendan has a proven track record of improving business processes, implementing cost savings initiatives, and driving innovation. He holds certifications in Comptia A and Comptia Security. Brendan has a diverse educational background in Business Administration Software Technology, Information Technology, and Network Security. He is proficient in Active Directory, Anti-Virus, DNS, Firewall, IDS, Microsoft Exchange, TCP/IP, and VPN. Brendan is a strategic thinker with excellent mentoring and coaching skills, and a strong focus on change management and cross-functional collaboration.",White,Male,Brendan,Baker,Democratic,1,Yes
35,INFORMATION-TECHNOLOGY,"Kareem Williams is an Information Security Leader with 5 years of IT and security experience. He is skilled in governance, audit and control establishment, and technical acumen. Kareem has experience in managing enterprise security initiatives, IT SOX governance, and compliance. He has a background in business administration, information technology, and network security. Kareem is proficient in Active Directory, Microsoft Exchange, firewall, IDS/IPS, and VPN. He has a proven track record of maximizing technology investments, driving innovation, and improving business processes. Kareem is an influential change agent with outstanding mentoring skills and a focus on renewing quality initiatives for complex IT portfolios. He is adept at cross-functional collaboration, resources utilization, and change management. Kareem has a Comptia A Certification and Comptia Security Certification.",African_American,Male,Kareem,Williams,Republican,1,Yes
36,INFORMATION-TECHNOLOGY,"Emily Sullivan is an experienced Information Technology Specialist with a background in project management and systems integration. She has worked on large and complex data networks and telecommunications systems for the U.S. Army Information Systems Engineering Command (USAISEC). Emily has managed the implementation of network communications, local area networks (LANs), visual information systems (VIS), and information technology infrastructure projects. She has also served as a Project Manager and Lead Engineer on a $25 million infrastructure project for the Joint Special Operations Command (JSOC) at Ft Bragg, NC. Emily has a Bachelor of Science in Information Technology and strong skills in project coordination, systems integration, and telecommunications.",White,Female,Emily,Sullivan,Democratic,1,Yes
37,INFORMATION-TECHNOLOGY,"Tanisha Williams is an experienced Information Technology Specialist with a background in managing and coordinating the implementation of network communications, local area networks, and information technology infrastructure projects. She has served as a Project Manager and Lead Engineer on various projects, including a $25 million infrastructure project for the Joint Special Operations Command. Tanisha has also worked as a Systems Integration Analyst, providing engineering services for the US Army Information Systems Engineering Command. She holds a Bachelor of Science in Information Technology and has strong skills in project coordination, systems integration, telecommunications, and documentation.",African_American,Female,Tanisha,Williams,Democratic,1,Yes
38,INFORMATION-TECHNOLOGY,"Todd Sullivan is an experienced Information Technology Specialist with a background in managing and coordinating the implementation of network communications, local area networks, and information technology infrastructure projects. He has served as a Project Manager and Lead Engineer on projects involving large and complex data networks and telecommunications systems for the U.S. Army Information Systems Engineering Command. Todd has a Bachelor of Science in Information Technology and strong skills in engineering support, project coordination, and systems integration.",White,Male,Todd,Sullivan,Republican,1,Yes
39,INFORMATION-TECHNOLOGY,"Rasheed Robinson is an experienced Information Technology Specialist with a background in project management, systems integration, and communications engineering. He has a Bachelor of Science in Information Technology and an Associates of Applied Science in Electronic Technology. Rasheed has extensive experience working with the U.S. Army Information Systems Engineering Command on large-scale infrastructure projects, including the relocation of Command Headquarters and the development of communication systems for various military commands. He is skilled in project coordination, procurement, financial planning, and systems integration. Rasheed's expertise in telecommunications, network communications, and information technology make him a valuable asset for any organization.",African_American,Male,Rasheed,Robinson,Republican,1,Yes
40,INFORMATION-TECHNOLOGY,"Anne Walsh is an experienced Information Technology Manager with a strong background in network administration, implementation of new technology, and software development. She has extensive experience in managing budgets, providing technical support, and overseeing security measures. Anne is skilled in a variety of software and hardware systems, including Microsoft Exchange Server, Windows Server, and Adobe Products. She holds a BS in Computer System Engineering and certifications in LAN Network Administration. Anne is a dedicated professional with a proven track record of success in IT management.",White,Female,Anne,Walsh,Republican,1,Yes
41,INFORMATION-TECHNOLOGY,"Lakisha Jones is an experienced Information Technology Manager with a strong background in network administration, implementation of new technology, and technical support. She has a Bachelor's degree in Computer System Engineering and certifications in LAN Network Administration. Lakisha has extensive experience in managing Windows servers, Microsoft Exchange Server, and database administration. She is skilled in software and hardware installation, budget planning, and has knowledge of various software and hardware systems. Lakisha has a proven track record of developing and maintaining in-house applications, providing technical support for users, and implementing network security measures.",African_American,Female,Lakisha,Jones,Republican,1,Yes
42,INFORMATION-TECHNOLOGY,"Brendan McCarthy is an experienced Information Technology Manager with a strong background in network administration, implementation of new technology, and technical support. He has a proven track record of managing annual budgets, developing company applications, and ensuring the security and functionality of IT systems. Brendan is skilled in a variety of software and hardware technologies, including Microsoft Exchange Server, Windows Server, and Sybase SQL Anywhere. With a Bachelor's degree in Computer System Engineering and certifications in LAN Network Administration, Brendan is a highly qualified candidate for IT management roles.",White,Male,Brendan,McCarthy,Republican,1,Yes
43,INFORMATION-TECHNOLOGY,"Hakim Jackson is an experienced Information Technology Manager with over 20 years of experience. He has expertise in annual budget planning, network administration, implementation of new technology, and technical support for users. He has experience with Windows Server administration, Microsoft Active Directory, Microsoft Exchange Server, and database administration. Hakim has also supervised employees, developed in-house applications, and implemented various IT solutions. He holds a BS in Computer System Engineering and certifications in LAN Network Administration. Hakim's skills include Active Directory, Adobe Products, hardware installation, network administration, and technical support.",African_American,Male,Hakim,Jackson,Republican,1,Yes
44,INFORMATION-TECHNOLOGY,"Laurie Walsh is a Senior Project Manager with over 25 years of experience in various sectors including health care, private sector, local and state government, and aerospace/defense contracting. She has successfully managed fast-paced private sector projects as well as large multi-departmental/multi-agency government projects. Laurie has provided mentoring and professional quality training to hundreds of project managers and has proven competence in leadership, communication, project planning, budgeting, design, change control, execution, implementation, and support. She has experience in implementing various systems such as Cerner EHR, Service Now, ITIL, Active Directory, and Office 365. Laurie has managed projects ranging from $4.5 million to $50 million in size and has led teams of 5 to 15 people. She holds an MBA from Pepperdine University and a BS in Biology and Computer Science from Loyola Marymount University. Laurie has a strong skill set including project management, leadership, mentoring, IT systems, and various software tools.",White,Female,Laurie,Walsh,Republican,1,No
